time,ecg
1710814959348,34
1710814959355,2
1710814959363,2
1710814959371,0
1710814959377,-22
1710814959385,-34
1710814959393,-24
1710814959401,-12
1710814959409,-7
1710814959417,9
1710814959424,29
1710814959432,36
1710814959440,39
1710814959447,46
1710814959455,51
1710814959463,49
1710814959470,53
1710814959478,63
1710814959486,66
1710814959493,66
1710814959501,56
1710814959509,49
1710814959516,53
1710814959524,61
1710814959532,58
1710814959539,68
1710814959547,71
1710814959555,58
1710814959561,66
1710814959569,88
1710814959577,93
1710814959585,83
1710814959593,83
1710814959601,105
1710814959609,132
1710814959616,147
1710814959624,144
1710814959632,132
1710814959639,103
1710814959647,73
1710814959655,71
1710814959662,83
1710814959670,83
1710814959678,76
1710814959685,73
1710814959693,85
1710814959701,105
1710814959708,184
1710814959716,397
1710814959724,689
1710814959731,782
1710814959739,385
1710814959747,-257
1710814959753,-404
1710814959761,-90
1710814959769,19
1710814959777,-26
1710814959785,36
1710814959793,76
1710814959800,53
1710814959808,78
1710814959816,112
1710814959823,115
1710814959831,125
1710814959839,149
1710814959846,157
1710814959854,154
1710814959862,159
1710814959869,171
1710814959877,184
1710814959885,191
1710814959893,193
1710814959900,203
1710814959908,208
1710814959916,201
1710814959923,203
1710814959931,233
1710814959939,252
1710814959945,255
1710814959953,252
1710814959961,250
1710814959969,245
1710814959977,242
1710814959985,230
1710814959992,203
1710814960000,164
1710814960008,125
1710814960015,90
1710814960023,73
1710814960031,63
1710814960038,49
1710814960046,36
1710814960054,31
1710814960061,31
1710814960069,31
1710814960077,31
1710814960084,41
1710814960092,56
1710814960100,58
1710814960107,61
1710814960115,80
1710814960123,88
1710814960129,76
1710814960137,76
1710814960145,90
1710814960153,98
1710814960161,98
1710814960169,100
1710814960177,95
1710814960184,93
1710814960192,100
1710814960200,93
1710814960207,90
1710814960215,95
1710814960223,103
1710814960230,105
1710814960238,100
1710814960246,88
1710814960253,73
1710814960261,71
1710814960269,83
1710814960276,90
1710814960284,95
1710814960292,103
1710814960299,90
1710814960307,68
1710814960315,61
1710814960321,61
1710814960329,56
1710814960337,58
1710814960345,68
1710814960353,85
1710814960361,98
1710814960368,130
1710814960376,267
1710814960384,522
1710814960391,706
1710814960399,537
1710814960407,-14
1710814960414,-370
1710814960422,-152
1710814960430,71
1710814960437,-17
1710814960445,-12
1710814960453,95
1710814960460,83
1710814960468,66
1710814960476,110
1710814960484,122
1710814960491,100
1710814960499,107
1710814960507,120
1710814960513,112
1710814960521,115
1710814960529,134
1710814960537,149
1710814960545,144
1710814960553,147
1710814960560,174
1710814960568,196
1710814960576,201
1710814960583,208
1710814960591,206
1710814960599,203
1710814960606,223
1710814960614,238
1710814960622,223
1710814960629,208
1710814960637,203
1710814960645,191
1710814960652,169
1710814960660,144
1710814960668,107
1710814960675,66
1710814960683,39
1710814960691,22
1710814960697,7
1710814960705,-2
1710814960713,-2
1710814960721,-2
1710814960729,4
1710814960737,12
1710814960744,17
1710814960752,22
1710814960760,22
1710814960768,19
1710814960775,24
1710814960783,19
1710814960791,12
1710814960798,24
1710814960806,41
1710814960814,51
1710814960821,51
1710814960829,58
1710814960837,66
1710814960844,58
1710814960852,66
1710814960860,85
1710814960867,78
1710814960875,56
1710814960883,61
1710814960889,83
1710814960897,78
1710814960905,73
1710814960913,85
1710814960921,61
1710814960929,39
1710814960936,68
1710814960944,85
1710814960952,83
1710814960959,105
1710814960967,100
1710814960975,68
1710814960982,63
1710814960990,68
1710814960998,61
1710814961005,63
1710814961013,83
1710814961021,93
1710814961028,83
1710814961036,83
1710814961044,139
1710814961051,301
1710814961059,581
1710814961067,802
1710814961075,606
1710814961081,-14
1710814961089,-372
1710814961097,-132
1710814961105,76
1710814961113,9
1710814961121,41
1710814961128,115
1710814961136,98
1710814961144,110
1710814961151,142
1710814961159,132
1710814961167,130
1710814961174,144
1710814961182,142
1710814961190,134
1710814961197,134
1710814961205,134
1710814961213,139
1710814961220,154
1710814961228,166
1710814961236,174
1710814961243,179
1710814961251,196
1710814961259,223
1710814961265,235
1710814961273,242
1710814961281,264
1710814961289,264
1710814961297,240
1710814961305,238
1710814961312,240
1710814961320,223
1710814961328,198
